name,molecular_weight,polarity,smiles,category,price_per_kg,olfactive_notes,olfactive_family,ifra_limit,is_allergen,complexity_tier,traditional_use,odor_threshold_ppb,odor_potency,russell_valence,russell_arousal,evidence_level,biodegradability,renewable_source,carbon_footprint
Abajurú (Chrysobalanus icaco),222.37,5.3,CC(C)=CCCC(C)=CCCC(C)(O)C=C,Heart,450.0,Floral amadeirado verde,Amadeirado,100.00%,False,3,Adstringente,10.0,Medium,0.6,-0.2,Média (Estudo Químico),True,True,1.5
Açaí (Euterpe precatoria),280.45,6.8,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,Base,180.0,Verde oleoso suave,Oleoso,100.00%,False,3,Nutrição,100.0,Medium,0.5,-0.4,Média (Estudo Químico),True,True,1.2
Alecrim-do-Campo (B. dracunculifolia),136.23,4.1,CC1(C2CCC(=C)C1C2)C,Top,280.0,Verde balsâmico,Agreste,100.00%,False,3,Cicatrizante,150.0,Medium,0.4,-0.5,Média (Estudo Clínico),True,True,1.8
Alecrim-Pimenta (Lippia sidoides),150.22,3.3,Cc1ccc(C(C)C)c(O)c1,Heart,350.0,Especiado fenólico,Aromático,2.00%,False,3,Antisséptico,10.0,High,0.2,0.9,Alta (Resposta Trigeminal),True,True,2.0
Alfavaca-Cravo (Ocimum gratissimum),164.20,2.5,COC1=C(C=CC(=C1)CC=C)O,Heart,220.0,Cravo medicinal,Especiado,2.50%,True,3,Digestivo,10.0,High,0.2,0.9,Alta (Resposta Trigeminal),True,True,1.5
Amapá-Doce (Brosimum parinarioides),222.37,4.6,CC1CCC2C13CCC(C(C3)C2(C)C)(C)O,Base,400.0,Leitoso resinoso,Lactônico,100.00%,False,3,Tônico,200.0,Low,0.8,-0.4,Associação Cultural,True,True,2.2
Anaxagorea (Anaxagorea brevipes),222.37,3.8,CC(=C)C1CCC2(C)CCC(O)(C(C)C)C2C1,Base,550.0,Amadeirado cânfora,Amadeirado,100.00%,False,3,Perfumaria,50.0,Medium,0.4,-0.5,Média (Estudo Clínico),True,True,2.5
Andiroba (Carapa guianensis),282.47,7.2,CCCCCCCCC=CCCCCCCCC(=O)O,Base,95.0,Amargo noz,Oleoso,100.00%,False,3,Repelente,500.0,Low,0.5,-0.3,Associação Cultural,True,True,1.1
Angico (Anadenanthera colubrina),222.37,4.8,CC(C)=CCCC(C)=CCCC(C)(O)C=C,Base,150.0,Amadeirado seco,Amadeirado,100.00%,False,3,Construção,300.0,Low,0.4,-0.5,Associação Cultural,True,True,1.4
Araçá-Boi (Eugenia stipitata),136.23,4.2,CC1=CCC(CC1)C(=C)C,Top,600.0,Cítrico suculento,Frutado,100.00%,False,3,Alimento,5.0,High,0.7,0.8,Alta (Estudo Clínico),True,True,1.6
Aroeira-Branca (Lithraea molleoides),136.23,4.5,CC1=CCC(CC1)C(=C)C,Top,320.0,Pimenta resina,Cítrico,100.00%,False,3,Medicinal,15.0,Medium,0.7,0.8,Associação Cultural,True,True,1.7
Aroeira-Piri (Schinus terebinthifolius),136.23,4.3,CC1=CCC(CC1)C(=C)C,Top,480.0,Pimenta rosa bagas,Especiado,100.00%,False,3,Gastronomia,10.0,High,0.7,0.8,Média (Aromacologia),True,True,1.8
Assacu (Hura crepitans),204.36,4.5,CC1=CCCC(C)(C12CC2(C)C)C=CC,Base,200.0,Amadeirado seco,Amadeirado,100.00%,False,3,Purga,100.0,Medium,0.4,-0.5,Associação Cultural,True,True,3.0
Avenca (Adiantum capillus-veneris),100.16,1.8,CC/C=C\CCO,Heart,250.0,Verde orvalho,Verde,100.00%,False,3,Capilar,150.0,Medium,0.7,0.8,Associação Cultural,True,True,1.2
Bacuri (Platonia insignis),256.43,7.2,CCCCCCCCCCCCCCCC(=O)O,Base,160.0,Terra doce,Gourmand,100.00%,False,3,Manteiga,300.0,Low,0.9,-0.2,Associação Cultural,True,True,1.3
Balsam-of-Tolu (Myroxylon toluiferum),238.28,4.2,C1=CC=C(C=C1)C=CC(=O)OCC2=CC=CC=C2,Base,850.0,Baunilha especiado,Balsâmico,0.50%,True,3,Fixador,2000.0,Low,0.9,-0.2,Alta (Psicologia Evolutiva),True,True,1.9
